Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hasar,,,,25-03-2024 15:44:44,25-03-2024 15:44:53,9.075s,PASSED
,,,,,,,
Test Cases/Hasar Flow/1 auth_token_Admin,,,,25-03-2024 15:44:44,25-03-2024 15:44:48,3.451s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 15:44:45,25-03-2024 15:44:45,0.275s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 15:44:45,25-03-2024 15:44:48,2.743s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.011s,PASSED
print(responseBody),,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.011s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.014s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.012s,PASSED
token = accessToken,,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.012s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.004s,PASSED
,,,,,,,
Test Cases/Hasar Flow/2 Create Customer,,,,25-03-2024 15:44:48,25-03-2024 15:44:49,1.233s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.009s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.013s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.032s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.002s,PASSED
"requestBody = 
{
  ""name"": ""QATest"",
  ""email"": ""QATest$uniqueIdSubstring@gmail.com"",
  ""address"": ""QATest"",
  ""phone"": ""1148784215"",
  ""company"": ""QATest"",
  ""external_reference"": ""QATest"",
  ""description"": ""QATest"",
  ""manager"": ""QATest"",
  ""wallet"": {
      ""address"": ""0x71C7656EC7ab88b098defB751B7401B5f6d8976F"",
      ""network"": ""Ethereum"",
      ""coin"": ""ETH""
  }
}
",,,,25-03-2024 15:44:48,25-03-2024 15:44:48,0.001s,PASSED
try,,,,25-03-2024 15:44:48,25-03-2024 15:44:49,0.854s,PASSED
,,,,,,,
Test Cases/Hasar Flow/3 Create User tipo User,,,,25-03-2024 15:44:49,25-03-2024 15:44:50,1.088s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 15:44:49,25-03-2024 15:44:49,0.002s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 15:44:49,25-03-2024 15:44:49,0.002s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 15:44:49,25-03-2024 15:44:49,0.002s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 15:44:49,25-03-2024 15:44:49,0.002s,PASSED
"requestBody = 
{
    ""user"": {
		""username"": ""QATest$uniqueIdSubstring"",
        ""password"": ""1234"",
        ""role"": ""user""
    }
}
",,,,25-03-2024 15:44:49,25-03-2024 15:44:49,0.001s,PASSED
try,,,,25-03-2024 15:44:49,25-03-2024 15:44:50,0.874s,PASSED
,,,,,,,
Test Cases/Hasar Flow/4 auth_token_User,,,,25-03-2024 15:44:50,25-03-2024 15:44:51,1.072s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 15:44:50,25-03-2024 15:44:50,0.001s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_user]))",,,,25-03-2024 15:44:50,25-03-2024 15:44:51,0.943s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 15:44:51,25-03-2024 15:44:51,0.002s,PASSED
print(responseBody),,,,25-03-2024 15:44:51,25-03-2024 15:44:51,0.002s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 15:44:51,25-03-2024 15:44:51,0.002s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 15:44:51,25-03-2024 15:44:51,0.002s,PASSED
token = accessToken,,,,25-03-2024 15:44:51,25-03-2024 15:44:51,0.001s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 15:44:51,25-03-2024 15:44:51,0.000s,PASSED
,,,,,,,
Test Cases/Hasar Flow/5 AccessToken,,,,25-03-2024 15:44:51,25-03-2024 15:44:52,1.080s,PASSED
try,,,,25-03-2024 15:44:51,25-03-2024 15:44:52,0.822s,PASSED
,,,,,,,
Test Cases/Hasar Flow/6 auth_token_Admin - Copy,,,,25-03-2024 15:44:52,25-03-2024 15:44:53,0.938s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 15:44:52,25-03-2024 15:44:52,0.000s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 15:44:52,25-03-2024 15:44:53,0.916s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 15:44:53,25-03-2024 15:44:53,0.000s,PASSED
print(responseBody),,,,25-03-2024 15:44:53,25-03-2024 15:44:53,0.000s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 15:44:53,25-03-2024 15:44:53,0.000s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 15:44:53,25-03-2024 15:44:53,0.001s,PASSED
token = accessToken,,,,25-03-2024 15:44:53,25-03-2024 15:44:53,0.000s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 15:44:53,25-03-2024 15:44:53,0.000s,PASSED
