Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hasar,,,,25-03-2024 12:40:38,25-03-2024 12:40:43,5.014s,PASSED
,,,,,,,
Test Cases/Hasar Flow/auth_token_Admin,,,,25-03-2024 12:40:38,25-03-2024 12:40:41,3.465s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 12:40:38,25-03-2024 12:40:38,0.237s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 12:40:38,25-03-2024 12:40:41,2.785s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 12:40:41,25-03-2024 12:40:41,0.016s,PASSED
print(responseBody),,,,25-03-2024 12:40:41,25-03-2024 12:40:41,0.006s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 12:40:41,25-03-2024 12:40:41,0.015s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 12:40:41,25-03-2024 12:40:41,0.019s,PASSED
token = accessToken,,,,25-03-2024 12:40:41,25-03-2024 12:40:41,0.018s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 12:40:41,25-03-2024 12:40:41,0.003s,PASSED
,,,,,,,
Test Cases/Hasar Flow/Create Customer,,,,25-03-2024 12:40:41,25-03-2024 12:40:43,1.357s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 12:40:42,25-03-2024 12:40:42,0.011s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 12:40:42,25-03-2024 12:40:42,0.009s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 12:40:42,25-03-2024 12:40:42,0.053s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 12:40:42,25-03-2024 12:40:42,0.004s,PASSED
"requestBody = 
{
  ""name"": ""QATest"",
  ""email"": ""QATest$uniqueIdSubstring@gmail.com"",
  ""address"": ""QATest"",
  ""phone"": ""1148784215"",
  ""company"": ""QATest"",
  ""external_reference"": ""QATest"",
  ""description"": ""QATest"",
  ""manager"": ""QATest"",
  ""wallet"": {
      ""address"": ""0x71C7656EC7ab88b098defB751B7401B5f6d8976F"",
      ""network"": ""Ethereum"",
      ""coin"": ""ETH""
  }
}
",,,,25-03-2024 12:40:42,25-03-2024 12:40:42,0.002s,PASSED
try,,,,25-03-2024 12:40:42,25-03-2024 12:40:43,0.926s,PASSED
