Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hasar,,,,25-03-2024 12:36:43,25-03-2024 12:36:48,4.969s,PASSED
,,,,,,,
Test Cases/Hasar Flow/auth_token_Admin,,,,25-03-2024 12:36:44,25-03-2024 12:36:47,3.419s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 12:36:44,25-03-2024 12:36:44,0.247s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 12:36:44,25-03-2024 12:36:47,2.699s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.027s,PASSED
print(responseBody),,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.011s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.025s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.016s,PASSED
token = accessToken,,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.016s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.006s,PASSED
,,,,,,,
Test Cases/Hasar Flow/Create Customer,,,,25-03-2024 12:36:47,25-03-2024 12:36:48,1.351s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.008s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.010s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.039s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.004s,PASSED
"requestBody = 
{
  ""name"": ""QATest"",
  ""email"": ""QATest$uniqueIdSubstring@gmail.com"",
  ""address"": ""QATest"",
  ""phone"": ""1148784215"",
  ""company"": ""QATest"",
  ""external_reference"": ""QATest"",
  ""description"": ""QATest"",
  ""manager"": ""QATest"",
  ""wallet"": {
      ""address"": ""0x71C7656EC7ab88b098defB751B7401B5f6d8976F"",
      ""network"": ""Ethereum"",
      ""coin"": ""ETH""
  }
}
",,,,25-03-2024 12:36:47,25-03-2024 12:36:47,0.002s,PASSED
try,,,,25-03-2024 12:36:47,25-03-2024 12:36:48,0.956s,PASSED
catch (Exception e),,,,25-03-2024 12:36:48,25-03-2024 12:36:48,0.035s,PASSED
