Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hasar,,,,25-03-2024 12:52:47,25-03-2024 12:52:53,6.188s,PASSED
,,,,,,,
Test Cases/Hasar Flow/auth_token_Admin,,,,25-03-2024 12:52:47,25-03-2024 12:52:51,3.478s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 12:52:48,25-03-2024 12:52:48,0.265s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 12:52:48,25-03-2024 12:52:51,2.732s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.018s,PASSED
print(responseBody),,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.013s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.027s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.023s,PASSED
token = accessToken,,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.015s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.007s,PASSED
,,,,,,,
Test Cases/Hasar Flow/Create Customer,,,,25-03-2024 12:52:51,25-03-2024 12:52:52,1.360s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.010s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.010s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.048s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.004s,PASSED
"requestBody = 
{
  ""name"": ""QATest"",
  ""email"": ""QATest$uniqueIdSubstring@gmail.com"",
  ""address"": ""QATest"",
  ""phone"": ""1148784215"",
  ""company"": ""QATest"",
  ""external_reference"": ""QATest"",
  ""description"": ""QATest"",
  ""manager"": ""QATest"",
  ""wallet"": {
      ""address"": ""0x71C7656EC7ab88b098defB751B7401B5f6d8976F"",
      ""network"": ""Ethereum"",
      ""coin"": ""ETH""
  }
}
",,,,25-03-2024 12:52:51,25-03-2024 12:52:51,0.002s,PASSED
try,,,,25-03-2024 12:52:51,25-03-2024 12:52:52,0.944s,PASSED
,,,,,,,
Test Cases/Hasar Flow/Create User tipo User,,,,25-03-2024 12:52:52,25-03-2024 12:52:53,1.140s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 12:52:52,25-03-2024 12:52:52,0.003s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 12:52:52,25-03-2024 12:52:52,0.002s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 12:52:52,25-03-2024 12:52:52,0.003s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 12:52:52,25-03-2024 12:52:52,0.002s,PASSED
"requestBody = 
{
    ""user"": {
		""username"": ""QATest$uniqueIdSubstring"",
        ""password"": ""1234"",
        ""role"": ""user""
    }
}
",,,,25-03-2024 12:52:52,25-03-2024 12:52:52,0.001s,PASSED
try,,,,25-03-2024 12:52:52,25-03-2024 12:52:53,0.900s,PASSED
