Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hasar,,,,25-03-2024 12:41:21,25-03-2024 12:41:28,6.985s,PASSED
,,,,,,,
Test Cases/Hasar Flow/auth_token_Admin,,,,25-03-2024 12:41:22,25-03-2024 12:41:27,4.999s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 12:41:23,25-03-2024 12:41:23,0.312s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 12:41:23,25-03-2024 12:41:27,4.036s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.012s,PASSED
print(responseBody),,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.004s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.011s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.012s,PASSED
token = accessToken,,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.013s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.004s,PASSED
,,,,,,,
Test Cases/Hasar Flow/Create Customer,,,,25-03-2024 12:41:27,25-03-2024 12:41:28,1.485s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.013s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.021s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.057s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.004s,PASSED
"requestBody = 
{
  ""name"": ""QATest"",
  ""email"": ""QATest$uniqueIdSubstring@gmail.com"",
  ""address"": ""QATest"",
  ""phone"": ""1148784215"",
  ""company"": ""QATest"",
  ""external_reference"": ""QATest"",
  ""description"": ""QATest"",
  ""manager"": ""QATest"",
  ""wallet"": {
      ""address"": ""0x71C7656EC7ab88b098defB751B7401B5f6d8976F"",
      ""network"": ""Ethereum"",
      ""coin"": ""ETH""
  }
}
",,,,25-03-2024 12:41:27,25-03-2024 12:41:27,0.002s,PASSED
try,,,,25-03-2024 12:41:27,25-03-2024 12:41:28,1.071s,PASSED
