Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hasar,,,,25-03-2024 12:49:22,25-03-2024 12:49:28,6.278s,PASSED
,,,,,,,
Test Cases/Hasar Flow/auth_token_Admin,,,,25-03-2024 12:49:22,25-03-2024 12:49:26,3.581s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 12:49:23,25-03-2024 12:49:23,0.268s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 12:49:23,25-03-2024 12:49:26,2.815s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.032s,PASSED
print(responseBody),,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.006s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.018s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.027s,PASSED
token = accessToken,,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.016s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.008s,PASSED
,,,,,,,
Test Cases/Hasar Flow/Create Customer,,,,25-03-2024 12:49:26,25-03-2024 12:49:27,1.353s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.011s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.011s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.044s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.002s,PASSED
"requestBody = 
{
  ""name"": ""QATest"",
  ""email"": ""QATest$uniqueIdSubstring@gmail.com"",
  ""address"": ""QATest"",
  ""phone"": ""1148784215"",
  ""company"": ""QATest"",
  ""external_reference"": ""QATest"",
  ""description"": ""QATest"",
  ""manager"": ""QATest"",
  ""wallet"": {
      ""address"": ""0x71C7656EC7ab88b098defB751B7401B5f6d8976F"",
      ""network"": ""Ethereum"",
      ""coin"": ""ETH""
  }
}
",,,,25-03-2024 12:49:26,25-03-2024 12:49:26,0.002s,PASSED
try,,,,25-03-2024 12:49:26,25-03-2024 12:49:27,0.932s,PASSED
,,,,,,,
Test Cases/Hasar Flow/Create User tipo User,,,,25-03-2024 12:49:27,25-03-2024 12:49:28,1.146s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 12:49:27,25-03-2024 12:49:27,0.002s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 12:49:27,25-03-2024 12:49:27,0.002s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 12:49:27,25-03-2024 12:49:27,0.003s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 12:49:27,25-03-2024 12:49:27,0.003s,PASSED
"requestBody = 
{
    ""user"": {
		""username"": ""QATest$uniqueIdSubstring"",
        ""password"": ""1234"",
        ""role"": ""user""
    }
}
",,,,25-03-2024 12:49:27,25-03-2024 12:49:27,0.001s,PASSED
try,,,,25-03-2024 12:49:27,25-03-2024 12:49:28,0.940s,PASSED
