Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hasar,,,,25-03-2024 18:22:45,25-03-2024 18:22:50,4.556s,PASSED
,,,,,,,
Test Cases/Hasar Flow/1 auth_token_Admin,,,,25-03-2024 18:22:45,25-03-2024 18:22:48,2.680s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 18:22:46,25-03-2024 18:22:46,0.295s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 18:22:46,25-03-2024 18:22:48,1.925s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 18:22:48,25-03-2024 18:22:48,0.016s,PASSED
print(responseBody),,,,25-03-2024 18:22:48,25-03-2024 18:22:48,0.005s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 18:22:48,25-03-2024 18:22:48,0.021s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 18:22:48,25-03-2024 18:22:48,0.018s,PASSED
token = accessToken,,,,25-03-2024 18:22:48,25-03-2024 18:22:48,0.034s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 18:22:48,25-03-2024 18:22:48,0.006s,PASSED
,,,,,,,
Test Cases/Hasar Flow/2 Create Customer,,,,25-03-2024 18:22:48,25-03-2024 18:22:49,0.613s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 18:22:48,25-03-2024 18:22:48,0.008s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 18:22:48,25-03-2024 18:22:48,0.010s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 18:22:48,25-03-2024 18:22:49,0.032s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.002s,PASSED
"requestBody = 
{
  ""name"": ""QATest"",
  ""email"": ""QATest$uniqueIdSubstring@gmail.com"",
  ""address"": ""QATest"",
  ""phone"": ""1148784215"",
  ""company"": ""QATest"",
  ""external_reference"": ""QATest"",
  ""description"": ""QATest"",
  ""manager"": ""QATest"",
  ""wallet"": {
      ""address"": ""0x71C7656EC7ab88b098defB751B7401B5f6d8976F"",
      ""network"": ""Ethereum"",
      ""coin"": ""ETH""
  }
}
",,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.002s,PASSED
try,,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.199s,PASSED
,,,,,,,
Test Cases/Hasar Flow/3 Create User tipo User,,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.344s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.002s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.003s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.001s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.001s,PASSED
"requestBody = 
{
    ""user"": {
		""username"": ""QATest$uniqueIdSubstring"",
        ""password"": ""1234"",
        ""role"": ""user""
    }
}
",,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.001s,PASSED
try,,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.149s,PASSED
,,,,,,,
Test Cases/Hasar Flow/4 auth_token_User,,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.282s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.001s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_user]))",,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.155s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.001s,PASSED
print(responseBody),,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.002s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.001s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.001s,PASSED
token = accessToken,,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.001s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 18:22:49,25-03-2024 18:22:49,0.001s,PASSED
,,,,,,,
