Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hasar,,,,25-03-2024 12:27:59,25-03-2024 12:28:05,5.227s,PASSED
,,,,,,,
Test Cases/Hasar Flow/auth_token_Admin,,,,25-03-2024 12:28:00,25-03-2024 12:28:03,3.610s,PASSED
"current_user = ""Hasar""",,,,25-03-2024 12:28:00,25-03-2024 12:28:00,0.282s,PASSED
"response = sendRequest(findTestObject(""Flow Admin/token"", [""url_base"":url_base, ""api_key"":api_key_hasar]))",,,,25-03-2024 12:28:00,25-03-2024 12:28:03,2.870s,PASSED
responseBody = response.getResponseText(),,,,25-03-2024 12:28:03,25-03-2024 12:28:03,0.022s,PASSED
print(responseBody),,,,25-03-2024 12:28:03,25-03-2024 12:28:03,0.006s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,25-03-2024 12:28:03,25-03-2024 12:28:03,0.016s,PASSED
jsonResponse = jsonSlurper.parseText(responseBody),,,,25-03-2024 12:28:03,25-03-2024 12:28:03,0.016s,PASSED
token = accessToken,,,,25-03-2024 12:28:03,25-03-2024 12:28:03,0.024s,PASSED
"println(""Response Body: "" + responseBody)",,,,25-03-2024 12:28:03,25-03-2024 12:28:03,0.005s,PASSED
,,,,,,,
Test Cases/Hasar Flow/Create Customer,,,,25-03-2024 12:28:03,25-03-2024 12:28:05,1.419s,PASSED
uniqueId = randomUUID().toString(),,,,25-03-2024 12:28:04,25-03-2024 12:28:04,0.010s,PASSED
"uniqueIdSubstring = replaceAll(""[^a-zA-Z0-9]"", """").substring(0, 10)",,,,25-03-2024 12:28:04,25-03-2024 12:28:04,0.010s,PASSED
println(uniqueIdSubstring: $uniqueIdSubstring),,,,25-03-2024 12:28:04,25-03-2024 12:28:04,0.046s,PASSED
println(uniqueId: $uniqueId),,,,25-03-2024 12:28:04,25-03-2024 12:28:04,0.004s,PASSED
"requestBody = 
{
  ""name"": ""QATest"",
  ""email"": ""QATest$uniqueIdSubstring@gmail.com"",
  ""address"": ""QATest"",
  ""phone"": ""1148784215"",
  ""company"": ""QATest"",
  ""external_reference"": ""QATest"",
  ""description"": ""QATest"",
  ""manager"": ""QATest"",
  ""wallet"": {
      ""address"": ""0x71C7656EC7ab88b098defB751B7401B5f6d8976F"",
      ""network"": ""Ethereum"",
      ""coin"": ""ETH""
  }
}
",,,,25-03-2024 12:28:04,25-03-2024 12:28:04,0.002s,PASSED
try,,,,25-03-2024 12:28:04,25-03-2024 12:28:05,1.027s,PASSED
